id,salario_anual,moneda,genero,anios_experiencia,cargo,sector,pais,ciudad,tipo_jornada
1,24000,eur,mujer,0,junior developer,software,españa,madrid,tiempo completo
2,27000,eur,hombre,0,junior developer,software,españa,madrid,tiempo completo
3,26000,eur,mujer,1,junior developer,fintech,españa,barcelona,tiempo completo
4,29000,eur,hombre,1,junior developer,fintech,españa,barcelona,tiempo completo
5,25000,eur,no binario,1,data analyst,consultoría,españa,madrid,tiempo completo
6,32000,eur,mujer,2,data analyst,salud tech,españa,valencia,tiempo completo
7,35000,eur,hombre,2,data analyst,salud tech,españa,valencia,tiempo completo
8,34000,eur,mujer,3,backend developer,software,españa,sevilla,tiempo completo
9,38000,eur,hombre,3,backend developer,software,españa,sevilla,tiempo completo
10,33000,eur,prefiere no decir,2,qa engineer,software,españa,madrid,tiempo completo
11,36000,eur,mujer,4,qa engineer,videojuegos,españa,barcelona,tiempo completo
12,40000,eur,hombre,4,qa engineer,videojuegos,españa,barcelona,tiempo completo
13,37000,eur,mujer,5,data scientist,fintech,españa,madrid,tiempo completo
14,42000,eur,hombre,5,data scientist,fintech,españa,madrid,tiempo completo
15,36000,eur,no binario,4,data scientist,salud tech,españa,valencia,tiempo completo
16,45000,eur,mujer,6,machine learning engineer,software,españa,barcelona,tiempo completo
17,50000,eur,hombre,6,machine learning engineer,software,españa,barcelona,tiempo completo
18,44000,eur,mujer,7,frontend developer,ecommerce,españa,madrid,tiempo completo
19,49000,eur,hombre,7,frontend developer,ecommerce,españa,madrid,tiempo completo
20,43000,eur,prefiere no decir,6,full stack developer,software,españa,sevilla,tiempo completo
21,47000,eur,mujer,8,full stack developer,telecom,españa,madrid,tiempo completo
22,52000,eur,hombre,8,full stack developer,telecom,españa,madrid,tiempo completo
23,46000,eur,mujer,9,data engineer,fintech,españa,barcelona,tiempo completo
24,52000,eur,hombre,9,data engineer,fintech,españa,barcelona,tiempo completo
25,45000,eur,no binario,8,data engineer,salud tech,españa,valencia,tiempo completo
26,48000,eur,mujer,10,devops engineer,software,españa,madrid,tiempo completo
27,54000,eur,hombre,10,devops engineer,software,españa,madrid,tiempo completo
28,47000,eur,mujer,11,security engineer,fintech,españa,barcelona,tiempo completo
29,54000,eur,hombre,11,security engineer,fintech,españa,barcelona,tiempo completo
